date,production_factor,yoy_growth_rate_pct
2009-01-01,Manpower,4.0
2009-02-01,Manpower,4.0
2009-03-01,Manpower,3.9000000000000004
2009-04-01,Manpower,3.8000000000000003
2009-05-01,Manpower,3.7
2009-06-01,Manpower,3.6
2009-07-01,Manpower,3.6
2009-08-01,Manpower,3.5
2009-09-01,Manpower,3.4000000000000004
2009-10-01,Manpower,3.4000000000000004
2009-11-01,Manpower,3.4000000000000004
2009-12-01,Manpower,3.4000000000000004
2010-01-01,Manpower,3.4000000000000004
2010-02-01,Manpower,3.4000000000000004
2010-03-01,Manpower,3.4000000000000004
2010-04-01,Manpower,3.4000000000000004
2010-05-01,Manpower,3.4000000000000004
2010-06-01,Manpower,3.4000000000000004
2010-07-01,Manpower,3.4000000000000004
2010-08-01,Manpower,3.3000000000000003
2010-09-01,Manpower,3.2
2010-10-01,Manpower,3.1
2010-11-01,Manpower,3.0
2010-12-01,Manpower,2.8000000000000003
2011-01-01,Manpower,2.6
2011-02-01,Manpower,2.4000000000000004
2011-03-01,Manpower,2.2
2011-04-01,Manpower,2.0
2011-05-01,Manpower,1.8
2011-06-01,Manpower,1.6
2011-07-01,Manpower,1.5
2011-08-01,Manpower,1.4000000000000001
2011-09-01,Manpower,1.3
2011-10-01,Manpower,1.2000000000000002
2011-11-01,Manpower,1.2000000000000002
2011-12-01,Manpower,1.1
2012-01-01,Manpower,1.1
2012-02-01,Manpower,1.1
2012-03-01,Manpower,1.1
2012-04-01,Manpower,1.1
2012-05-01,Manpower,1.1
2012-06-01,Manpower,1.1
2012-07-01,Manpower,1.2000000000000002
2012-08-01,Manpower,1.2000000000000002
2012-09-01,Manpower,1.3
2012-10-01,Manpower,1.3
2012-11-01,Manpower,1.3
2012-12-01,Manpower,1.3
2013-01-01,Manpower,1.4000000000000001
2013-02-01,Manpower,1.4000000000000001
2013-03-01,Manpower,1.5
2013-04-01,Manpower,1.6
2013-05-01,Manpower,1.6
2013-06-01,Manpower,1.6
2013-07-01,Manpower,1.6
2013-08-01,Manpower,1.6
2013-09-01,Manpower,1.6
2013-10-01,Manpower,1.6
2013-11-01,Manpower,1.5
2013-12-01,Manpower,1.5
2014-01-01,Manpower,1.4000000000000001
2014-02-01,Manpower,1.3
2014-03-01,Manpower,1.2000000000000002
2014-04-01,Manpower,1.2000000000000002
2014-05-01,Manpower,1.2000000000000002
2014-06-01,Manpower,1.1
2014-07-01,Manpower,1.1
2014-08-01,Manpower,1.1
2014-09-01,Manpower,1.1
2014-10-01,Manpower,1.1
2014-11-01,Manpower,1.0
2014-12-01,Manpower,1.1
2015-01-01,Manpower,0.9
2015-02-01,Manpower,0.7000000000000001
2015-03-01,Manpower,0.6000000000000001
2015-04-01,Manpower,0.5
2015-05-01,Manpower,0.4
2015-06-01,Manpower,0.30000000000000004
2015-07-01,Manpower,0.2
2015-08-01,Manpower,0.1
2015-09-01,Manpower,0.1
2015-10-01,Manpower,0.1
2015-11-01,Manpower,0.1
2015-12-01,Manpower,0.0
2016-01-01,Manpower,0.30000000000000004
2016-02-01,Manpower,0.5
2016-03-01,Manpower,0.6000000000000001
2016-04-01,Manpower,0.8
2016-05-01,Manpower,0.9
2016-06-01,Manpower,1.0
2016-07-01,Manpower,1.2000000000000002
2016-08-01,Manpower,1.3
2016-09-01,Manpower,1.3
2016-10-01,Manpower,1.4000000000000001
2016-11-01,Manpower,1.4000000000000001
2016-12-01,Manpower,1.4000000000000001
2017-01-01,Manpower,1.5
2017-02-01,Manpower,1.6
2017-03-01,Manpower,1.7000000000000002
2017-04-01,Manpower,1.6
2017-05-01,Manpower,1.6
2017-06-01,Manpower,1.7000000000000002
2017-07-01,Manpower,1.8
2017-08-01,Manpower,1.9000000000000001
2017-09-01,Manpower,2.1
2017-10-01,Manpower,2.2
2017-11-01,Manpower,2.4000000000000004
2017-12-01,Manpower,2.5
2018-01-01,Manpower,2.6
2018-02-01,Manpower,2.6
2018-03-01,Manpower,2.6
2018-04-01,Manpower,2.8000000000000003
2018-05-01,Manpower,2.9000000000000004
2018-06-01,Manpower,3.1
2018-07-01,Manpower,3.3000000000000003
2018-08-01,Manpower,3.4000000000000004
2018-09-01,Manpower,3.4000000000000004
2018-10-01,Manpower,3.5
2018-11-01,Manpower,3.6
2018-12-01,Manpower,3.7
2019-01-01,Manpower,3.8000000000000003
2019-02-01,Manpower,4.0
2019-03-01,Manpower,4.1000000000000005
2019-04-01,Manpower,4.2
2019-05-01,Manpower,4.3
2019-06-01,Manpower,4.3
2019-07-01,Manpower,4.3
2019-08-01,Manpower,4.2
2019-09-01,Manpower,4.4
2019-10-01,Manpower,4.5
2019-11-01,Manpower,4.6000000000000005
2019-12-01,Manpower,4.5
2020-01-01,Manpower,4.7
2020-02-01,Manpower,4.800000000000001
2020-03-01,Manpower,4.7
2020-04-01,Manpower,4.2
2020-05-01,Manpower,4.0
2020-06-01,Manpower,3.8000000000000003
2020-07-01,Manpower,3.7
2020-08-01,Manpower,3.7
2020-09-01,Manpower,3.7
2020-10-01,Manpower,3.6
2020-11-01,Manpower,3.3000000000000003
2020-12-01,Manpower,3.3000000000000003
2021-01-01,Manpower,2.9000000000000004
2021-02-01,Manpower,2.6
2021-03-01,Manpower,2.8000000000000003
2021-04-01,Manpower,3.6
2021-05-01,Manpower,4.0
2021-06-01,Manpower,4.4
2021-07-01,Manpower,4.4
2021-08-01,Manpower,4.4
2021-09-01,Manpower,4.4
2021-10-01,Manpower,4.6000000000000005
2021-11-01,Manpower,4.9
2021-12-01,Manpower,5.1000000000000005
2022-01-01,Manpower,5.4
2022-02-01,Manpower,5.7
2022-03-01,Manpower,5.7
2022-04-01,Manpower,5.6000000000000005
2022-05-01,Manpower,5.5
2022-06-01,Manpower,5.5
2022-07-01,Manpower,5.800000000000001
2022-08-01,Manpower,6.1000000000000005
2022-09-01,Manpower,6.2
2022-10-01,Manpower,6.2
2022-11-01,Manpower,6.2
2022-12-01,Manpower,6.300000000000001
2001-12-01,Materials,-1.7000000000000002
2002-01-01,Materials,-1.0
2002-02-01,Materials,-0.5
2002-03-01,Materials,0.2
2002-04-01,Materials,0.5
2002-05-01,Materials,0.8
2002-06-01,Materials,1.0
2002-07-01,Materials,1.1
2002-08-01,Materials,1.1
2002-09-01,Materials,1.2000000000000002
2002-10-01,Materials,1.4000000000000001
2002-11-01,Materials,1.5
2002-12-01,Materials,1.7000000000000002
2003-01-01,Materials,1.6
2003-02-01,Materials,1.5
2003-03-01,Materials,1.4000000000000001
2003-04-01,Materials,1.3
2003-05-01,Materials,1.2000000000000002
2003-06-01,Materials,0.9
2003-07-01,Materials,0.8
2003-08-01,Materials,0.6000000000000001
2003-09-01,Materials,0.5
2003-10-01,Materials,0.30000000000000004
2003-11-01,Materials,0.2
2003-12-01,Materials,0.1
2004-01-01,Materials,0.0
2004-02-01,Materials,0.0
2004-03-01,Materials,0.1
2004-04-01,Materials,0.5
2004-05-01,Materials,0.9
2004-06-01,Materials,1.4000000000000001
2004-07-01,Materials,2.0
2004-08-01,Materials,2.6
2004-09-01,Materials,3.1
2004-10-01,Materials,3.8000000000000003
2004-11-01,Materials,4.4
2004-12-01,Materials,4.9
2005-01-01,Materials,5.300000000000001
2005-02-01,Materials,5.5
2005-03-01,Materials,5.300000000000001
2005-04-01,Materials,4.6000000000000005
2005-05-01,Materials,4.1000000000000005
2005-06-01,Materials,3.4000000000000004
2005-07-01,Materials,2.8000000000000003
2005-08-01,Materials,2.4000000000000004
2005-09-01,Materials,1.9000000000000001
2005-10-01,Materials,1.3
2005-11-01,Materials,0.9
2005-12-01,Materials,0.4
2006-01-01,Materials,0.1
2006-02-01,Materials,0.0
2006-03-01,Materials,0.1
2006-04-01,Materials,0.6000000000000001
2006-05-01,Materials,1.0
2006-06-01,Materials,1.6
2006-07-01,Materials,2.0
2006-08-01,Materials,2.2
2006-09-01,Materials,2.4000000000000004
2006-10-01,Materials,2.6
2006-11-01,Materials,2.7
2006-12-01,Materials,2.9000000000000004
2007-01-01,Materials,3.0
2007-02-01,Materials,3.1
2007-03-01,Materials,3.2
2007-04-01,Materials,3.2
2007-05-01,Materials,3.2
2007-06-01,Materials,3.0
2007-07-01,Materials,2.9000000000000004
2007-08-01,Materials,2.9000000000000004
2007-09-01,Materials,2.9000000000000004
2007-10-01,Materials,3.0
2007-11-01,Materials,3.1
2007-12-01,Materials,3.2
2008-01-01,Materials,3.4000000000000004
2008-02-01,Materials,3.7
2008-03-01,Materials,4.0
2008-04-01,Materials,4.4
2008-05-01,Materials,4.6000000000000005
2008-06-01,Materials,5.2
2008-07-01,Materials,6.0
2008-08-01,Materials,6.7
2008-09-01,Materials,7.2
2008-10-01,Materials,7.5
2008-11-01,Materials,7.6000000000000005
2008-12-01,Materials,7.5
2009-01-01,Materials,7.2
2009-02-01,Materials,6.5
2009-03-01,Materials,5.6000000000000005
2009-04-01,Materials,4.5
2009-05-01,Materials,3.2
2009-06-01,Materials,1.6
2009-07-01,Materials,-0.30000000000000004
2009-08-01,Materials,-2.0
2009-09-01,Materials,-3.3000000000000003
2009-10-01,Materials,-4.3
2009-11-01,Materials,-5.0
2009-12-01,Materials,-5.5
2010-01-01,Materials,-5.7
2010-02-01,Materials,-5.800000000000001
2010-03-01,Materials,-5.5
2010-04-01,Materials,-4.800000000000001
2010-05-01,Materials,-4.1000000000000005
2010-06-01,Materials,-3.3000000000000003
2010-07-01,Materials,-2.3000000000000003
2010-08-01,Materials,-1.4000000000000001
2010-09-01,Materials,-0.7000000000000001
2010-10-01,Materials,0.0
2010-11-01,Materials,0.5
2010-12-01,Materials,0.9
2011-01-01,Materials,1.4000000000000001
2011-02-01,Materials,1.8
2011-03-01,Materials,2.0
2011-04-01,Materials,1.9000000000000001
2011-05-01,Materials,2.0
2011-06-01,Materials,1.9000000000000001
2011-07-01,Materials,1.9000000000000001
2011-08-01,Materials,1.9000000000000001
2011-09-01,Materials,1.9000000000000001
2011-10-01,Materials,1.8
2011-11-01,Materials,1.7000000000000002
2011-12-01,Materials,1.6
2012-01-01,Materials,1.3
2012-02-01,Materials,1.1
2012-03-01,Materials,0.8
2012-04-01,Materials,0.7000000000000001
2012-05-01,Materials,0.5
2012-06-01,Materials,0.4
2012-07-01,Materials,0.4
2012-08-01,Materials,0.30000000000000004
2012-09-01,Materials,0.2
2012-10-01,Materials,0.1
2012-11-01,Materials,0.2
2012-12-01,Materials,0.2
2013-01-01,Materials,0.2
2013-02-01,Materials,0.4
2013-03-01,Materials,0.6000000000000001
2013-04-01,Materials,0.7000000000000001
2013-05-01,Materials,0.9
2013-06-01,Materials,1.0
2013-07-01,Materials,1.0
2013-08-01,Materials,1.0
2013-09-01,Materials,1.1
2013-10-01,Materials,1.2000000000000002
2013-11-01,Materials,1.2000000000000002
2013-12-01,Materials,1.2000000000000002
2014-01-01,Materials,1.1
2014-02-01,Materials,1.0
2014-03-01,Materials,0.9
2014-04-01,Materials,0.8
2014-05-01,Materials,0.6000000000000001
2014-06-01,Materials,0.5
2014-07-01,Materials,0.4
2014-08-01,Materials,0.4
2014-09-01,Materials,0.4
2014-10-01,Materials,0.30000000000000004
2014-11-01,Materials,0.4
2014-12-01,Materials,0.4
2015-01-01,Materials,0.5
2015-02-01,Materials,0.6000000000000001
2015-03-01,Materials,0.8
2015-04-01,Materials,0.9
2015-05-01,Materials,1.1
2015-06-01,Materials,1.4000000000000001
2015-07-01,Materials,1.6
2015-08-01,Materials,1.8
2015-09-01,Materials,1.9000000000000001
2015-10-01,Materials,2.0
2015-11-01,Materials,2.0
2015-12-01,Materials,2.0
2016-01-01,Materials,2.0
2016-02-01,Materials,1.9000000000000001
2016-03-01,Materials,1.9000000000000001
2016-04-01,Materials,1.8
2016-05-01,Materials,1.6
2016-06-01,Materials,1.4000000000000001
2016-07-01,Materials,1.3
2016-08-01,Materials,1.2000000000000002
2016-09-01,Materials,1.1
2016-10-01,Materials,1.1
2016-11-01,Materials,1.0
2016-12-01,Materials,1.0
2017-01-01,Materials,1.0
2017-02-01,Materials,1.1
2017-03-01,Materials,1.1
2017-04-01,Materials,1.2000000000000002
2017-05-01,Materials,1.2000000000000002
2017-06-01,Materials,1.2000000000000002
2017-07-01,Materials,1.2000000000000002
2017-08-01,Materials,1.2000000000000002
2017-09-01,Materials,1.3
2017-10-01,Materials,1.3
2017-11-01,Materials,1.3
2017-12-01,Materials,1.3
2018-01-01,Materials,1.3
2018-02-01,Materials,1.3
2018-03-01,Materials,1.2000000000000002
2018-04-01,Materials,1.2000000000000002
2018-05-01,Materials,1.2000000000000002
2018-06-01,Materials,1.3
2018-07-01,Materials,1.3
2018-08-01,Materials,1.3
2018-09-01,Materials,1.3
2018-10-01,Materials,1.3
2018-11-01,Materials,1.2000000000000002
2018-12-01,Materials,1.3
2019-01-01,Materials,1.3
2019-02-01,Materials,1.3
2019-03-01,Materials,1.3
2019-04-01,Materials,1.3
2019-05-01,Materials,1.3
2019-06-01,Materials,1.2000000000000002
2019-07-01,Materials,1.1
2019-08-01,Materials,1.1
2019-09-01,Materials,1.0
2019-10-01,Materials,1.0
2019-11-01,Materials,1.0
2019-12-01,Materials,0.9
2020-01-01,Materials,1.0
2020-02-01,Materials,1.0
2020-03-01,Materials,1.0
2020-04-01,Materials,1.0
2020-05-01,Materials,0.9
2020-06-01,Materials,0.9
2020-07-01,Materials,1.0
2020-08-01,Materials,1.1
2020-09-01,Materials,1.1
2020-10-01,Materials,1.1
2020-11-01,Materials,1.1
2020-12-01,Materials,1.2000000000000002
2021-01-01,Materials,1.2000000000000002
2021-02-01,Materials,1.3
2021-03-01,Materials,1.4000000000000001
2021-04-01,Materials,1.6
2021-05-01,Materials,2.1
2021-06-01,Materials,2.6
2021-07-01,Materials,3.2
2021-08-01,Materials,3.7
2021-09-01,Materials,4.3
2021-10-01,Materials,5.0
2021-11-01,Materials,5.7
2021-12-01,Materials,6.2
2022-01-01,Materials,6.800000000000001
2022-02-01,Materials,7.5
2022-03-01,Materials,8.5
2022-04-01,Materials,9.9
2022-05-01,Materials,11.0
2022-06-01,Materials,11.8
2022-07-01,Materials,12.600000000000001
2022-08-01,Materials,13.4
2022-09-01,Materials,14.200000000000001
2022-10-01,Materials,14.9
2022-11-01,Materials,15.3
2022-12-01,Materials,15.9
2001-12-01,Total,0.2
2002-01-01,Total,0.7000000000000001
2002-02-01,Total,1.1
2002-03-01,Total,1.6
2002-04-01,Total,1.8
2002-05-01,Total,2.0
2002-06-01,Total,2.2
2002-07-01,Total,2.3000000000000003
2002-08-01,Total,2.4000000000000004
2002-09-01,Total,2.4000000000000004
2002-10-01,Total,2.6
2002-11-01,Total,2.7
2002-12-01,Total,2.8000000000000003
2003-01-01,Total,2.7
2003-02-01,Total,2.6
2003-03-01,Total,2.5
2003-04-01,Total,2.4000000000000004
2003-05-01,Total,2.3000000000000003
2003-06-01,Total,2.1
2003-07-01,Total,1.9000000000000001
2003-08-01,Total,1.8
2003-09-01,Total,1.6
2003-10-01,Total,1.4000000000000001
2003-11-01,Total,1.3
2003-12-01,Total,1.2000000000000002
2004-01-01,Total,1.1
2004-02-01,Total,1.0
2004-03-01,Total,1.1
2004-04-01,Total,1.3
2004-05-01,Total,1.5
2004-06-01,Total,1.9000000000000001
2004-07-01,Total,2.3000000000000003
2004-08-01,Total,2.6
2004-09-01,Total,3.0
2004-10-01,Total,3.4000000000000004
2004-11-01,Total,3.8000000000000003
2004-12-01,Total,4.1000000000000005
2005-01-01,Total,4.4
2005-02-01,Total,4.6000000000000005
2005-03-01,Total,4.5
2005-04-01,Total,4.1000000000000005
2005-05-01,Total,3.8000000000000003
2005-06-01,Total,3.5
2005-07-01,Total,3.1
2005-08-01,Total,2.9000000000000004
2005-09-01,Total,2.7
2005-10-01,Total,2.4000000000000004
2005-11-01,Total,2.1
2005-12-01,Total,1.9000000000000001
2006-01-01,Total,1.8
2006-02-01,Total,1.7000000000000002
2006-03-01,Total,1.9000000000000001
2006-04-01,Total,2.2
2006-05-01,Total,2.4000000000000004
2006-06-01,Total,2.8000000000000003
2006-07-01,Total,3.0
2006-08-01,Total,3.1
2006-09-01,Total,3.1
2006-10-01,Total,3.2
2006-11-01,Total,3.2
2006-12-01,Total,3.3000000000000003
2007-01-01,Total,3.4000000000000004
2007-02-01,Total,3.4000000000000004
2007-03-01,Total,3.4000000000000004
2007-04-01,Total,3.3000000000000003
2007-05-01,Total,3.3000000000000003
2007-06-01,Total,3.2
2007-07-01,Total,3.2
2007-08-01,Total,3.2
2007-09-01,Total,3.2
2007-10-01,Total,3.3000000000000003
2007-11-01,Total,3.4000000000000004
2007-12-01,Total,3.5
2008-01-01,Total,3.5
2008-02-01,Total,3.7
2008-03-01,Total,4.0
2008-04-01,Total,4.2
2008-05-01,Total,4.4
2008-06-01,Total,4.800000000000001
2008-07-01,Total,5.300000000000001
2008-08-01,Total,5.7
2008-09-01,Total,6.0
2008-10-01,Total,6.2
2008-11-01,Total,6.2
2008-12-01,Total,6.2
2009-01-01,Total,6.0
2009-02-01,Total,5.6000000000000005
2009-03-01,Total,5.0
2009-04-01,Total,4.2
2009-05-01,Total,3.4000000000000004
2009-06-01,Total,2.4000000000000004
2009-07-01,Total,1.1
2009-08-01,Total,0.0
2009-09-01,Total,-0.8
2009-10-01,Total,-1.5
2009-11-01,Total,-1.9000000000000001
2009-12-01,Total,-2.2
2010-01-01,Total,-2.4000000000000004
2010-02-01,Total,-2.4000000000000004
2010-03-01,Total,-2.1
2010-04-01,Total,-1.7000000000000002
2010-05-01,Total,-1.3
2010-06-01,Total,-0.8
2010-07-01,Total,-0.1
2010-08-01,Total,0.4
2010-09-01,Total,0.8
2010-10-01,Total,1.2000000000000002
2010-11-01,Total,1.4000000000000001
2010-12-01,Total,1.6
2011-01-01,Total,1.9000000000000001
2011-02-01,Total,2.0
2011-03-01,Total,2.1
2011-04-01,Total,1.9000000000000001
2011-05-01,Total,1.9000000000000001
2011-06-01,Total,1.8
2011-07-01,Total,1.8
2011-08-01,Total,1.7000000000000002
2011-09-01,Total,1.6
2011-10-01,Total,1.6
2011-11-01,Total,1.5
2011-12-01,Total,1.4000000000000001
2012-01-01,Total,1.2000000000000002
2012-02-01,Total,1.1
2012-03-01,Total,0.9
2012-04-01,Total,0.9
2012-05-01,Total,0.7000000000000001
2012-06-01,Total,0.7000000000000001
2012-07-01,Total,0.7000000000000001
2012-08-01,Total,0.7000000000000001
2012-09-01,Total,0.6000000000000001
2012-10-01,Total,0.6000000000000001
2012-11-01,Total,0.6000000000000001
2012-12-01,Total,0.7000000000000001
2013-01-01,Total,0.7000000000000001
2013-02-01,Total,0.8
2013-03-01,Total,0.9
2013-04-01,Total,1.0
2013-05-01,Total,1.2000000000000002
2013-06-01,Total,1.2000000000000002
2013-07-01,Total,1.2000000000000002
2013-08-01,Total,1.2000000000000002
2013-09-01,Total,1.3
2013-10-01,Total,1.3
2013-11-01,Total,1.3
2013-12-01,Total,1.3
2014-01-01,Total,1.2000000000000002
2014-02-01,Total,1.1
2014-03-01,Total,1.0
2014-04-01,Total,0.9
2014-05-01,Total,0.8
2014-06-01,Total,0.8
2014-07-01,Total,0.7000000000000001
2014-08-01,Total,0.7000000000000001
2014-09-01,Total,0.6000000000000001
2014-10-01,Total,0.6000000000000001
2014-11-01,Total,0.6000000000000001
2014-12-01,Total,0.7000000000000001
2015-01-01,Total,0.7000000000000001
2015-02-01,Total,0.7000000000000001
2015-03-01,Total,0.7000000000000001
2015-04-01,Total,0.7000000000000001
2015-05-01,Total,0.8
2015-06-01,Total,1.0
2015-07-01,Total,1.1
2015-08-01,Total,1.1
2015-09-01,Total,1.2000000000000002
2015-10-01,Total,1.2000000000000002
2015-11-01,Total,1.2000000000000002
2015-12-01,Total,1.2000000000000002
2016-01-01,Total,1.3
2016-02-01,Total,1.4000000000000001
2016-03-01,Total,1.4000000000000001
2016-04-01,Total,1.4000000000000001
2016-05-01,Total,1.4000000000000001
2016-06-01,Total,1.3
2016-07-01,Total,1.2000000000000002
2016-08-01,Total,1.2000000000000002
2016-09-01,Total,1.2000000000000002
2016-10-01,Total,1.2000000000000002
2016-11-01,Total,1.2000000000000002
2016-12-01,Total,1.2000000000000002
2017-01-01,Total,1.2000000000000002
2017-02-01,Total,1.3
2017-03-01,Total,1.3
2017-04-01,Total,1.3
2017-05-01,Total,1.3
2017-06-01,Total,1.4000000000000001
2017-07-01,Total,1.4000000000000001
2017-08-01,Total,1.5
2017-09-01,Total,1.6
2017-10-01,Total,1.7000000000000002
2017-11-01,Total,1.8
2017-12-01,Total,1.8
2018-01-01,Total,1.8
2018-02-01,Total,1.8
2018-03-01,Total,1.8
2018-04-01,Total,1.8
2018-05-01,Total,1.9000000000000001
2018-06-01,Total,2.0
2018-07-01,Total,2.1
2018-08-01,Total,2.2
2018-09-01,Total,2.1
2018-10-01,Total,2.2
2018-11-01,Total,2.2
2018-12-01,Total,2.3000000000000003
2019-01-01,Total,2.3000000000000003
2019-02-01,Total,2.4000000000000004
2019-03-01,Total,2.4000000000000004
2019-04-01,Total,2.5
2019-05-01,Total,2.5
2019-06-01,Total,2.4000000000000004
2019-07-01,Total,2.4000000000000004
2019-08-01,Total,2.4000000000000004
2019-09-01,Total,2.4000000000000004
2019-10-01,Total,2.4000000000000004
2019-11-01,Total,2.4000000000000004
2019-12-01,Total,2.4000000000000004
2020-01-01,Total,2.5
2020-02-01,Total,2.6
2020-03-01,Total,2.5
2020-04-01,Total,2.3000000000000003
2020-05-01,Total,2.2
2020-06-01,Total,2.1
2020-07-01,Total,2.1
2020-08-01,Total,2.2
2020-09-01,Total,2.1
2020-10-01,Total,2.1
2020-11-01,Total,2.1
2020-12-01,Total,2.1
2021-01-01,Total,1.9000000000000001
2021-02-01,Total,1.8
2021-03-01,Total,2.0
2021-04-01,Total,2.4000000000000004
2021-05-01,Total,2.9000000000000004
2021-06-01,Total,3.3000000000000003
2021-07-01,Total,3.7
2021-08-01,Total,4.0
2021-09-01,Total,4.4
2021-10-01,Total,4.800000000000001
2021-11-01,Total,5.4
2021-12-01,Total,5.7
2022-01-01,Total,6.2
2022-02-01,Total,6.7
2022-03-01,Total,7.4
2022-04-01,Total,8.1
2022-05-01,Total,8.700000000000001
2022-06-01,Total,9.200000000000001
2022-07-01,Total,9.8
2022-08-01,Total,10.3
2022-09-01,Total,10.9
2022-10-01,Total,11.3
2022-11-01,Total,11.5
2022-12-01,Total,11.9
